Gene_Symbol	Day_0_R1	Day_0_R2	Day_0_R3	Day_7_R1	Day_7_R2	Day_7_R3	Comments
ABCA8	16,436736246024893	15,710243554264412	8,099441755847161 	147,6824270643157	137,84761875123925	163,85555688145786	
ABCA9	74,49565370628248	75,09261876939613	68,31236709215516 	78,70044671765392	86,10844985173172	89,46219611710585	
ABCB1	35,729931680907065	19,8484942096771	27,325979743452628 	4,184935436513618	13,545439575382845	4,172805023352909 	
ABCB10	1016,0477359638195	902,5917246790021	855,831926239641	711,78039514475	811,3293666010023	778,5311752669849	
ABCB11	5,211552564771142	21,128753895474766	15,630064677629283 	0,0	6,738396170775611	1,261748897192371 	
ABCB4	8,768276984327807	4,753381353945515	11,07286066367463 	8,325879932739188	3,9344895885971796	11,914032511953678 	
ABCB5	79,94653199145317	95,49453290803548	48,078136917949784 	84,56511019366341	64,52202841753775	70,69062426105157	
ABCB6	1114,612093734473	890,9414181822548	912,5161081727865	1160,6217102692547	1168,077780228902	1173,6083633508506 	
ABCB7	1718,2998188234826	1396,6009707125552	1459,7602057123568	1175,3980038854768	1202,648176721973	1343,269058111724	
ABCB8	1059,1575334829947	944,1288716792046	887,1966592926125 	620,1954972691001	645,921624748506	654,2144155831213 	
ABCB9	739,7125790794892	722,9031896400968	626,1138205828313	588,0935579289714	541,6022187088756	630,2803438640502	
ABCC1	4352,325939957342	3947,7472067281965	3707,485724682517 	4134,121032555928	4141,726518342691	4395,594824586874 	
ABCC10	1515,5064578547779	1301,4068614712176	1152,3294260462471	1311,271077603915	1307,4127961406946	1347,1560059416786	
ABCC11	32,150660326440594	22,269898359964102	27,74220576203316	53,35350116256157	47,47616386504687	59,05164611870836	
ABCC12	66,37698127379706	60,877510426676615	50,89010802423335	6,9868663095642125	7,02545739664321	2,8991615819436882	
ABCC13	13,659063339498335	1,6510253718368837	24,209813578697954 	14,001992726023444	9,997644068742705	7,5250541522303855	
ABCC2	227,19181634032591	218,18198063173725	209,85909430610968	159,20836602907687	149,5836613074131	180,28077337465905	
ABCC3	3502,2322308615644	3183,487717516844	2880,7625856668965 	1175,1191858791444	1160,6091636261901	1204,1606355967062	
ABCC4	4163,30308052114	3691,3067020949793	3586,125307075916	4111,939958295541	4050,942426840139	4460,209840297523 	
ABCC5	1733,2241597253308	1415,0433166886387	1460,9452428191348 	1909,3802892498459	2072,3173224875873	2115,6800954813193 	
ABCC6	49,07557782359023	28,34458030194245	40,89986873600748 	83,82993763791731	93,74047220028558	107,11258096668986 	
ABCC6P1	10,122675858214075	0,0	0,0 	0,0	0,0	7,1466863585166704 	
ABCC6P2	14,238405037099445	16,75087763074562	14,089764850522021	33,987547913532275	18,38636607210928	15,098493090490855	
ABCC8	2,0757935705718134	14,43072228961249	5,529430522511386	3,9935656902339693	3,8537797623274996	4,247322751497818	
ABCC9	1706,5796956866222	1576,7740409467735	1449,8731812874141 	1793,016174288711	1719,0655723253208	1810,3967123404802	
ABCD1	459,40968451046393	407,3910962007624	354,4033564632094	632,494479458727	697,4548800295029	741,7421787674172	
ABCD2	6,226101141819902	8,076037364588396	0,3704542142509064 	52,84860701951469	55,00733870880607	78,2660344268407 	
ABCD3	3263,6811173916262	2770,2760115650485	2811,4153899518546	2259,963448929132	2218,880460955064	2432,8963316221093	
